Date,Open,High,Low,Close
12/30/2016,"2,251.61","2,253.58","2,233.62","2,238.83"
12/29/2016,"2,249.50","2,254.51","2,244.56","2,249.26"
12/28/2016,"2,270.23","2,271.31","2,249.11","2,249.92"
12/27/2016,"2,266.23","2,273.82","2,266.15","2,268.88"
12/23/2016,"2,260.25","2,263.79","2,258.84","2,263.79"
12/22/2016,"2,262.93","2,263.18","2,256.08","2,260.96"
12/21/2016,"2,270.54","2,271.23","2,265.15","2,265.18"
12/20/2016,"2,266.50","2,272.56","2,266.14","2,270.76"
12/19/2016,"2,259.24","2,267.47","2,258.21","2,262.53"
12/16/2016,"2,266.81","2,268.05","2,254.24","2,258.07"
12/15/2016,"2,253.77","2,272.12","2,253.77","2,262.03"
12/14/2016,"2,268.35","2,276.20","2,248.44","2,253.28"
12/13/2016,"2,263.32","2,277.53","2,263.32","2,271.72"
12/12/2016,"2,258.83","2,264.03","2,252.37","2,256.96"
12/09/2016,"2,249.73","2,259.80","2,249.23","2,259.53"
12/08/2016,"2,241.13","2,251.69","2,237.57","2,246.19"
12/07/2016,"2,210.72","2,241.63","2,208.93","2,241.35"
12/06/2016,"2,207.26","2,212.78","2,202.21","2,212.23"
12/05/2016,"2,200.65","2,209.42","2,199.97","2,204.71"
12/02/2016,"2,191.12","2,197.95","2,188.37","2,191.95"
12/01/2016,"2,200.17","2,202.60","2,187.44","2,191.08"
11/30/2016,"2,204.97","2,214.10","2,198.81","2,198.81"
11/29/2016,"2,200.76","2,210.46","2,198.15","2,204.66"
11/28/2016,"2,210.21","2,211.14","2,200.36","2,201.72"
11/25/2016,"2,206.27","2,213.35","2,206.27","2,213.35"
11/23/2016,"2,198.55","2,204.72","2,194.51","2,204.72"
11/22/2016,"2,201.56","2,204.80","2,194.51","2,202.94"
11/21/2016,"2,186.43","2,198.70","2,186.43","2,198.18"
11/18/2016,"2,186.85","2,189.89","2,180.38","2,181.90"
11/17/2016,"2,178.61","2,188.06","2,176.65","2,187.12"
11/16/2016,"2,177.53","2,179.22","2,172.20","2,176.94"
11/15/2016,"2,168.29","2,180.84","2,166.38","2,180.39"
11/14/2016,"2,165.64","2,171.36","2,156.08","2,164.20"
11/11/2016,"2,162.71","2,165.92","2,152.49","2,164.45"
11/10/2016,"2,167.49","2,182.30","2,151.17","2,167.48"
11/09/2016,"2,131.56","2,170.10","2,125.35","2,163.26"
11/08/2016,"2,129.92","2,146.87","2,123.56","2,139.56"
